 Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	0.390368103981018	0.390368103981018	0.633629620075226	-0.291144609451294	otu_2109
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	0.390368103981018	0.390368103981018	0.633629620075226	0	otu_2086
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	0	otu_1614
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	-0.686584770679474	otu_5741
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	0	otu_4814
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	0	otu_4337
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	0.616885125637054	otu_1912
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	0	otu_3660
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	-0.284534901380539	-0.284534901380539	0.633629620075226	-0.771243751049042	otu_5985
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__WSA2FA	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	WSA2	WSA2FA	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	0.552692532539368	0.552692532539368	0.633629620075226	0.582317650318146	otu_5144
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__WSA2FA	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	WSA2	WSA2FA	Euryarchaeota	0.483766943216324	0.633629620075226	0	0	0.552692532539368	0.552692532539368	0.633629620075226	0.459165692329407	otu_2711
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0	0	0	0.633629620075226	0	otu_1456
