"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"46"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Cand. Solibacter"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Solibacterales"	"Solibacteraceae"	"Cand. Solibacter"	"Acidobacteriota"	-0.46	-0.5	-0.15	0.42	0.42	0.42	-0.5
"47"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup 12;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 12"	"Subgroup 12OR"	"Subgroup 12OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.61	-0.61	-0.61	-0.5
"48"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup 13;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 13"	"Subgroup 13OR"	"Subgroup 13OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.54	-0.54	-0.54	-0.5
"49"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup 15;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 15"	"Subgroup 15OR"	"Subgroup 15OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.31	-0.31	-0.31	-0.5
"50"	"k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup 2;f__;g__"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 2"	"Subgroup 2OR"	"Subgroup 2OR"	"Acidobacteriota"	-0.46	-0.5	-0.15	-0.4	-0.4	-0.4	-0.5
"51"	"k__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__"	"Bacteria"	"Acidobacteriota"	"Aminicenantia"	"Aminicenantales"	"AminicenantalesOR"	"AminicenantalesOR"	"Acidobacteriota"	-0.46	-0.5	0.22	0.22	0.22	0.22	-0.5
"52"	"k__Bacteria;p__Acidobacteriota;c__AT-s3-28;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"AT-s3-28"	"AT-s3-28CL"	"AT-s3-28CL"	"AT-s3-28CL"	"Acidobacteriota"	-0.46	-0.5	-0.56	-0.56	-0.56	-0.56	-0.5
"53"	"k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__;g__"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"11-24"	"11-24OR"	"11-24OR"	"Acidobacteriota"	-0.46	-0.5	0.1	-0.59	-0.59	-0.59	-0.5
"54"	"k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Blastocatella"	"Acidobacteriota"	-0.46	-0.5	0.1	-0.53	-0.53	-0.63	-0.5
"55"	"k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"BlastocatellaceaeFA"	"Acidobacteriota"	-0.46	-0.5	0.1	-0.53	-0.53	-0.49	-0.5
