"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"OTU"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"	"OTU_r"
"1065"	"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"Euryarchaeota"	"otu_196"	0.482964558949783	0.409255402195877	0.394688736798361	0.394688736798361	0.394688736798361	0.394688736798361	0.409255402195877	0.444190709886528
"1205"	"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"Euryarchaeota"	"otu_2086"	0.482964558949783	0.409255402195877	0.394688736798361	0.394688736798361	0.394688736798361	0.394688736798361	0.409255402195877	0
"1231"	"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"Euryarchaeota"	"otu_2109"	0.482964558949783	0.409255402195877	0.394688736798361	0.394688736798361	0.394688736798361	0.394688736798361	0.409255402195877	-0.291016652163258
"1895"	"k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Cand. Methanofastidiosum"	"Archaea"	"Euryarchaeota"	"Thermococci"	"Methanofastidiosales"	"Methanofastidiosaceae"	"Cand. Methanofastidiosum"	"Euryarchaeota"	"otu_2711"	0.482964558949783	0.409255402195877	0.553999411623095	0.553999411623095	0.553999411623095	0	0.409255402195877	0.459165706283048
"4561"	"k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Cand. Methanofastidiosum"	"Archaea"	"Euryarchaeota"	"Thermococci"	"Methanofastidiosales"	"Methanofastidiosaceae"	"Cand. Methanofastidiosum"	"Euryarchaeota"	"otu_5144"	0.482964558949783	0.409255402195877	0.553999411623095	0.553999411623095	0.553999411623095	0	0.409255402195877	0.582317644896775
"447"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloadaptaceae"	"Haladaptatus"	"Halobacterota"	"otu_140"	0.482964558949783	0.671187878866376	0.606659682755014	0.606659682755014	0.603746104511102	0.603746104511102	0.671187878866376	0.608421112662867
"734"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloadaptaceae"	"Haladaptatus"	"Halobacterota"	"otu_166"	0.482964558949783	0.671187878866376	0.606659682755014	0.606659682755014	0.603746104511102	0.603746104511102	0.671187878866376	0.627789536348116
"4334"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloadaptaceae"	"Haladaptatus"	"Halobacterota"	"otu_4939"	0.482964558949783	0.671187878866376	0.606659682755014	0.606659682755014	0.603746104511102	0.603746104511102	0.671187878866376	0.45248018555651
"3470"	"k__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__"	"Archaea"	"Halobacterota"	"Halobacteria"	"Halobacterales"	"Haloferacaceae"	"HaloferacaceaeFA"	"Halobacterota"	"otu_4149"	0.482964558949783	0.671187878866376	0.606659682755014	0.606659682755014	0.605276926716326	0.605276926716326	0.671187878866376	0.605276926716326
"508"	"k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Rice Cluster I"	"Archaea"	"Halobacterota"	"Methanocellia"	"Methanocellales"	"Methanocellaceae"	"Rice Cluster I"	"Halobacterota"	"otu_1456"	0.482964558949783	0.671187878866376	0	0	0	0	0.671187878866376	0
"274"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"MethanomicrobialesOR"	"MethanomicrobialesOR"	"Halobacterota"	"otu_1243"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.499998481202632	0.499998481202632	0.671187878866376	0.499998481202632
"3020"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Halobacterota"	"otu_3737"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.471649134495263	0.471649134495263	0.671187878866376	0.471649134495263
"1702"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanolinea"	"Halobacterota"	"otu_2536"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.598575759994731	0.671187878866376	0
