Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	0	otu_4420
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0.500196039676666	0.500196039676666	0.540153920650482	0.497909396886826	otu_196
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0.500196039676666	0.500196039676666	0.540153920650482	0	otu_2109
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0.500196039676666	0.500196039676666	0.540153920650482	0.415989756584167	otu_2086
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	-0.311628818511963	otu_1614
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	-0.3401058614254	otu_5741
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	0	otu_4814
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	0	otu_4337
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	0.597847461700439	otu_1912
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	-0.299818873405457	otu_3660
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0	0	0.540153920650482	-0.347647488117218	otu_5985
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__WSA2FA	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	WSA2	WSA2FA	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0.557924270629883	0.557924270629883	0.540153920650482	0.583489596843719	otu_5144
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__WSA2FA	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	WSA2	WSA2FA	Euryarchaeota	0.426250219345093	0.540153920650482	0.295772641897202	0.295772641897202	0.557924270629883	0.557924270629883	0.540153920650482	0.483641803264618	otu_2711
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Euryarchaeota	0.426250219345093	0.540153920650482	0.576313555240631	0.361828565597534	0.361828565597534	0.361828565597534	0.540153920650482	0.361828565597534	otu_1456
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Euryarchaeota	0.426250219345093	0.540153920650482	0.576313555240631	0.537744760513306	0.367302566766739	0.367302566766739	0.540153920650482	0.367302566766739	otu_3737
