Domain	Phylum	Class	Order	Family	Genus	Phylum_r	Class_r	Order_r	Family_r	Genus_r
Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium	0.57	0.46	0.36	0.36	0.4
Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Saccharofermentans	0.57	0.46	0.36	0.36	0.17
Bacteria	Firmicutes	Clostridia	Oscillospirales	Hydrogenoanaerobacterium	HydrogenoanaerobacteriumFA	0.57	0.46	0.36	0.08	0.08
Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	OscillospiraceaeFA	0.57	0.46	0.36	0.32	0.26
Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	0.57	0.46	0.36	0.32	0.24
Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter	0.57	0.46	0.36	0.32	0.33
Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Caproiciproducens	0.57	0.46	0.36	0.2	0.19
Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	RuminococcaceaeFA	0.57	0.46	0.36	0.2	0.19
Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	UCG-010FA	0.57	0.46	0.36	0.24	0.24
Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	PeptococcaceaeFA	0.57	0.46	0.22	0.22	0.22
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	0.57	0.46	0.31	0.33	0.25
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	0.57	0.46	0.31	0.33	0.36
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Gottschalkia	GottschalkiaFA	0.57	0.46	0.31	-0.1	-0.1
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paeniclostridium	0.57	0.46	0.31	0.03	-0.13
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paraclostridium	0.57	0.46	0.31	0.03	0
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Sporacetigenium	0.57	0.46	0.31	0.03	0.47
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Tepidibacter	0.57	0.46	0.31	0.03	-0.23
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-TissierellalesOR	Peptostreptococcales-TissierellalesOR	0.57	0.46	0.31	0.38	0.38
Bacteria	Firmicutes	Clostridia	Thermincolales	Thermincolaceae	Thermincola	0.57	0.46	0.47	0.47	0.47
Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfitobacterium	0.57	0.25	0.25	0.29	0.29
Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	0.57	0.25	0.25	0.29	0.28
Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Heliobacteriaceae	HeliobacteriaceaeFA	0.57	0.25	0.25	-0.09	-0.09
Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales Incertae Sedis	Desulfallas-Sporotomaculum	0.57	-0.12	-0.12	-0.12	-0.12
Bacteria	Firmicutes	Incertae Sedis	DTU014	DTU014OR	DTU014OR	0.57	0.3	0.3	0.3	0.3
Bacteria	Firmicutes	Limnochordia	Hydrogenispora	HydrogenisporaOR	HydrogenisporaOR	0.57	0.17	0.17	0.17	0.17
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	0.57	0.07	0.17	0.17	0.17
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Anaerosinus	0.57	0.07	0.06	0.06	-0.06
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus	0.57	0.07	0.06	0.06	0.39
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Sporomusa	0.57	0.07	0.06	0.06	0.42
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	SporomusaceaeFA	0.57	0.07	0.06	0.06	0.2
Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas	0.57	0.29	0.29	0.29	0.29
Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	SRB2	SRB2FA	0.57	0.44	0.44	0.44	0.44
Bacteria	Firmicutes	TSAC18	TSAC18CL	TSAC18CL	TSAC18CL	0.57	0.34	0.34	0.34	0.34
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium	-0.16	-0.16	-0.16	-0.23	-0.23
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus	-0.16	-0.16	-0.16	0.07	0.07
Bacteria	Gemmatimonadota	AKAU4049	AKAU4049CL	AKAU4049CL	AKAU4049CL	0.1	0.44	0.44	0.44	0.44
Bacteria	Gemmatimonadota	BD2-11 terrestrial group	BD2-11 terrestrial groupCL	BD2-11 terrestrial groupCL	BD2-11 terrestrial groupCL	0.1	-0.15	-0.15	-0.15	-0.15
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	GemmatimonadaceaeFA	0.1	0.03	0.03	0.03	0
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	0.1	0.03	0.03	0.03	0.42
Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	LongimicrobiaceaeFA	0.1	0.38	0.38	0.38	0.38
Bacteria	Gemmatimonadota	MD2902-B12	MD2902-B12CL	MD2902-B12CL	MD2902-B12CL	0.1	-0.09	-0.09	-0.09	-0.09
Bacteria	Gemmatimonadota	PAUC43f marine benthic group	PAUC43f marine benthic groupCL	PAUC43f marine benthic groupCL	PAUC43f marine benthic groupCL	0.1	-0.15	-0.15	-0.15	-0.15
Bacteria	Gemmatimonadota	S0134 terrestrial group	S0134 terrestrial groupCL	S0134 terrestrial groupCL	S0134 terrestrial groupCL	0.1	0.46	0.46	0.46	0.46
Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	HalobacteroidaceaeFA	0.13	0.13	0.13	0.13	0.13
