"Sample"	"P01015"	"RecA"	"RpoB"	"amoA-AOA"	"amoA-AOB"	"AmoA-Ic"	"emoA"	"MOB-Ia"	"MOB-Ib"	"MOB-Ic"	"MOB-IIa"	"MOB-IIb"	"MOB-III"	"pxmA"	"p-amo-unk"	"NOB-nxr"	"NxrA-other"	"NxrB-other"	"HydA"	"DsrAB-red"	"DsrAB-ox"	"Dsr-AsrC"	"Dsr-2221"	"DsrA-ox"	"DsrA-red"	"DsrB-ox"	"DsrB-red"	"Dsr-no3so3"	"Dsr-unk"	"mcr-Ac"	"mcr-Ac-unk"	"mcr-H2"	"mcr-H2-unk"	"mcr-unk"
"1047983"	52	1308	300	8	2	0	2	8	0	0	16	0	0	13	3	25	196	432	1130	1178	854	59	633	456	583	398	595	449	341	13	0	23	2	1
"1047986"	46	1523	310	101	2	1	6	2	0	0	0	0	1	5	7	101	374	820	801	328	188	135	821	98	182	90	146	522	434	32	1	17	3	0
"1047989"	39	1183	271	66	0	1	0	4	8	0	0	0	0	1	2	51	330	685	1205	410	262	81	718	141	207	121	203	454	336	57	2	24	7	2
"1047992"	49	1263	242	110	0	0	5	4	0	0	0	0	0	2	1	76	328	757	675	253	112	90	714	60	132	52	121	462	347	70	2	20	2	1
"1047995"	31	1149	209	80	0	0	2	2	0	0	0	0	0	2	4	129	321	756	306	144	71	79	509	40	68	31	76	324	125	26	0	6	0	0
"1047998"	70	1301	258	142	1	0	0	1	0	0	0	0	0	0	0	100	302	723	708	311	229	82	723	122	159	107	152	372	322	89	1	32	4	0
"1048001"	26	1032	214	28	4	0	5	5	0	0	4	0	0	0	2	36	295	531	1317	393	164	78	626	76	211	88	182	482	323	57	5	58	11	1
"1048004"	60	1265	203	115	0	0	4	0	0	0	0	0	0	5	3	93	367	750	536	247	121	81	732	62	126	59	121	398	345	75	0	6	2	0
"1048007"	40	1234	224	85	1	0	1	0	0	0	0	0	0	1	1	96	423	818	678	287	133	94	759	57	170	76	117	467	343	45	3	23	2	0
"1048010"	21	1184	261	24	8	0	1	0	0	0	0	0	0	3	1	20	247	587	308	1267	526	76	771	267	654	259	613	528	343	0	0	1	0	0
"1048013"	6	1464	327	8	1	1	4	0	0	0	0	0	0	0	1	8	198	406	278	362	676	118	611	324	170	352	192	471	276	NA	NA	NA	NA	NA
"1048016"	22	1085	249	26	7	1	1	0	1	0	0	0	0	2	1	23	249	524	232	1091	717	83	787	349	566	368	525	488	341	NA	NA	NA	NA	NA
"1048019"	38	1171	324	56	6	1	1	0	0	0	1	0	0	2	3	21	281	548	256	1136	1079	97	853	567	560	512	576	538	398	NA	NA	NA	NA	NA
