SampleID	HydA	DsrAB.red	DsrAB.ox	NxrA.other	NxrB.other	NOB.nxr	AmoA.Ic	amoA.AOB	amoA.AOA	p.amo.unk	emoA	pxmA	MOB.III	MOB.IIb	MOB.IIa	MOB.Ic	MOB.Ib	MOB.Ia	mcr.Ac	mcr.H2	pmoA_MOB	mcrA
RushMan_CattailNLB_D2	3164.155347	3152.652963	854.6615624	767.8339539	1205.564549	7.447920416	0	0	0	0	12.50490818	7.371315264	0	0	6.685311257	0	0	5.70525511	127.7721547	525.9505064	12.39056637	653.7226611
RushMan_CattailNLC_D1	1903.806379	805.8952458	559.5457589	2.702622354	1350.726403	14.56331888	0	4.692214209	0	1.757095591	0	51.92242789	0	0	6.842269718	0	2.761904499	30.60084764	18.47809158	29.25796482	40.20502186	47.7360564
RushMan_CattailNLC_D2	4825.359036	3519.508023	1308.216762	405.4007808	610.1374003	5.823331761	0	0	0	0	0	40.53077299	0	0	5.553750587	0	2.776836739	39.20624163	81.71680726	223.8711445	47.53682896	305.5879517
RushMan_ThreeSqA_D1	1111.823311	683.859632	449.4865572	2.989885218	941.148247	77.21368888	2.313968502	45.55255246	60.38803627	44.84122131	25.68665945	40.13968611	0	0	7.098155663	0	0	12.36182569	0	5.004854709	19.45998136	5.004854709
RushMan_ThreeSqA_D2	1179.285886	1772.012237	1495.447722	739.6585989	1273.405823	210.1440295	0	21.18963309	79.62985845	47.17016264	22.82102044	28.46225549	2.457105088	0	4.403482274	0	2.654970636	15.17865274	7.531500501	11.42207716	24.69421074	18.95357766
RushMan_ThreeSqB_D1	1383.860523	708.6050799	256.8954189	2.819888107	721.6371912	48.64720238	0	12.88291236	16.42274973	12.13609907	5.100141274	15.81386032	0	0	8.131888387	0	0	16.57142699	7.10994824	6.624095811	24.70331538	13.73404405
RushMan_ThreeSqB_D2	1434.431892	1683.268667	2201.863835	558.0260209	1185.949366	142.1535205	0	15.32134329	52.06909569	49.49831997	19.60312082	66.26212788	0	0	36.80276021	0	11.12613139	44.42938782	9.583478084	16.72816258	92.35827941	26.31164066
RushMan_ThreeSqC_D2	1390.770712	1401.059162	1172.664173	359.8508003	1800.283297	116.6055235	0	23.13968502	28.19919914	25.73789629	4.944730277	22.42061066	0	0	22.93188771	0	0	20.25060119	12.43940971	14.1663794	43.1824889	26.60578911
RushOxbow_ThreeSqA_D1	892.2750297	639.7037162	277.790195	2.151023349	826.3609131	71.07039918	0	42.5166878	63.56889927	37.71815914	48.57168878	22.34376125	0	0	48.55473788	0	2.228437086	0	NA	NA	50.78317497	#VALUE!
RushOxbow_ThreeSqA_D2	1116.798298	1879.782825	889.3787444	538.6579604	976.8427222	98.69608374	0	11.99515396	38.64873709	16.21573413	2.761904499	14.56331888	0	0	30.20218993	0	0	3.999664028	2.659814983	0	34.20185396	2.659814983
RushOxbow_ThreeSqB_D1	770.1958753	450.3147817	363.9732645	2.204366851	846.5911517	65.13922424	0	23.64109663	56.9078465	21.05978082	44.42938782	11.64666352	0	0	6.676354799	0	0	0	0	2.207359336	6.676354799	2.207359336
RushOxbow_ThreeSqB_D2	655.1027483	450.0630088	386.5143611	775.5066512	1075.734253	189.1523438	0	51.3733189	60.16318106	59.79770437	32.90722693	5.515263492	2.038237332	0	22.30792182	0	4.732103775	5.407992472	2.502427355	0	34.4862554	2.502427355
RushOxbow_ThreeSqC_D1	866.9668785	277.790195	152.6059935	0	637.3393069	70.98377053	3.035730549	28.52627555	37.51472453	15.79342204	26.54970636	8.082462672	2.482640139	0	4.914210176	0	0	0	0	2.309858244	7.396850315	2.309858244
RushOxbow_ThreeSqC_D2	1020.171231	862.0971878	748.2993197	392.7721779	1002.137281	172.6994988	0	30.60084764	91.16317008	47.93809782	7.999328056	5.405244709	0	0	14.42289664	0	2.710629462	2.280756573	NA	NA	19.41428267	#VALUE!
Joice_CattailNLA_D1	830.4506364	733.962616	183.5413055	2.512139916	636.2487666	33.06550276	0	5.600891662	31.52146218	6.513922424	8.344598541	50.01697945	0	2.54854338	60.79615948	0	2.300172513	8.33062588	NA	NA	73.97550126	#VALUE!
Joice_CattailNLA_D2	2882.903607	4125.003549	4036.293682	599.3376551	1042.426271	35.60999929	0	2.472365139	0	4.613471799	0	89.69655655	0	0	5.017460763	0	6.879566312	68.61550474	0	14.95107261	80.51253181	14.95107261
Joice_CattailNLB_D1	894.0374091	460.2793674	185.9910635	4.179274144	608.8408176	34.43170471	0	15.17865274	17.11576533	4.302046699	6.685311257	57.90921415	0	0	94.87418497	0	0	4.403482274	2.702483582	2.123209869	99.27766725	4.825693451
Joice_CattailNLB_D2	2466.252715	3133.786848	2238.819569	435.7118615	968.2981173	38.66669109	0	0	17.85049446	0	6.842269718	56.39776214	0	0	24.59933828	0	16.47392178	10.84251785	2.221358361	7.902660299	51.91577791	10.12401866
Joice_CattailNLC_D1	920.4613136	590.308523	306.2404742	0	774.8923192	85.41275715	0	33.32204086	39.20624163	24.24803536	11.10750117	21.71307475	2.632472603	0	17.83980366	0	0	11.50086256	0	2.466133817	31.97313883	2.466133817
Joice_CattailNLC_D2	1048.174539	2163.477385	1819.988835	423.1868119	1032.64457	94.76706512	2.703996236	10.12530059	54.39203305	43.52333246	0	41.52124619	0	0	14.26766133	0	13.94245114	34.39783156	0	7.612397042	62.60794403	7.612397042
Joice_ThreeSqA_D1	1432.527229	1750.108682	971.0062892	577.977919	1462.389762	71.04766044	0	0	60.71461097	10.75990772	4.403482274	25.81228019	0	0	47.17016264	0	0	9.104013353	2.309858244	2.471790689	56.27417599	4.781648933
Joice_ThreeSqA_D1_rd	839.0022676	598.7540709	385.5297822	2.470148258	971.2234141	38.9847455	0	0	5.523808998	4.070178009	16.26377677	61.67839241	2.819888107	0	196.6048049	0	0	5.491307261	8.586172256	0	204.9160003	8.586172256
Joice_ThreeSqA_D2	1961.907738	2348.628867	1309.37857	581.9002699	1293.458709	62.50865075	0	8.344598541	44.42938782	17.58497941	4.600345026	30.86113591	0	0	26.20499292	0	0	6.676354799	5.415592574	15.11935217	32.88134772	20.53494474
Joice_ThreeSqA_D2_rd	1402.364843	843.6536964	624.8136209	5.000700098	711.8852074	43.03594697	0	8.111988708	12.65662574	17.92890421	20.63869894	102.8733313	0	2.989885218	101.113164	0	7.526191145	2.788490228	0	9.318578917	114.4177306	9.318578917
Joice_ThreeSqB_D1	1640.306728	1745.12651	889.4015912	491.720575	652.2675528	58.92007912	0	8.913748343	29.204677	6.268911216	3.034671118	12.91188927	0	0	8.082462672	0	0	0	2.123209869	2.875620775	8.082462672	4.998830643
Joice_ThreeSqC_D1	3261.908047	2860.630984	1372.954674	551.0874428	911.5646259	51.87311342	0	0	31.99731223	6.87966097	10.98261452	34.59651308	0	0	40.53933532	0	5.271286774	14.42289664	7.902660299	16.47514313	60.23351873	24.37780343
Joice_ThreeSqC_D2	2661.936429	2288.49845	2173.852173	589.5765276	1071.484378	73.10304898	0	5.553750587	22.25226278	6.697355438	4.4509032	32.65781891	0	0	42.11956164	0	0	18.01367688	32.05973963	53.9604634	60.13323852	86.02020303
Goodyear_PhragA_D2	1657.266312	3226.310334	1061.6772	639.8232079	1800.90015	32.50455064	0	2.366051888	21.63196989	0	0	0	0	0	0	0	0	2.508730382	15.22479408	7.810364353	2.508730382	23.03515844
Goodyear_PhragC_D2	1718.27841	2650.592861	1038.186438	775.3369023	1364.681417	35.12289821	0	0	15.5990596	2.805718053	4.914210176	0	0	0	0	0	0	0	2.471790689	0	0	2.471790689
White_CordA_D2	1763.156204	4306.940004	1359.20769	419.5011338	1023.088478	21.82524526	0	2.710629462	0	0	8.653737982	2.293220323	0	0	0	0	0	1.757095591	0	0	1.757095591	0
